Date,Open,High,Low,Close,Volume
2021-01-04,21.50,22.10,21.40,21.90,650000
2021-01-05,21.90,22.50,21.80,22.30,720000
2021-01-06,22.30,22.95,22.20,22.75,815000
2021-01-07,22.75,23.45,22.65,23.20,680000
2021-01-08,23.20,23.95,23.10,23.65,745000
2021-02-15,24.50,25.20,24.40,24.95,720000
2021-03-20,26.00,26.85,25.90,26.50,880000
2021-06-30,28.50,29.45,28.40,29.10,920000
2021-12-30,30.80,31.75,30.70,31.45,850000
2022-01-31,31.20,31.95,30.85,31.50,780000
2022-06-30,29.50,30.20,29.20,29.85,820000
2022-12-30,27.80,28.65,27.50,28.25,750000
2023-01-31,28.20,29.10,27.95,28.75,890000
2023-06-30,31.50,32.65,31.35,32.20,950000
2023-12-29,34.25,35.50,34.10,35.10,920000
2024-01-31,35.50,36.90,35.35,36.40,1020000
2024-06-28,38.20,39.75,38.05,39.30,980000
2024-12-31,41.50,42.95,41.35,42.75,900000
2025-01-31,42.80,44.35,42.65,43.95,1050000
2025-06-30,45.80,47.40,45.65,46.85,1120000
2026-01-31,47.50,49.25,47.30,48.70,1080000
2026-03-20,48.95,50.65,48.75,49.95,950000
