Date,Open,High,Low,Close,Volume
2021-01-04,13.20,13.45,13.10,13.38,980000
2021-01-05,13.38,13.65,13.30,13.55,1050000
2021-01-06,13.55,13.85,13.48,13.72,1120000
2021-01-07,13.72,14.05,13.65,13.95,980000
2021-01-08,13.95,14.30,13.88,14.15,1280000
2021-02-15,14.50,14.85,14.42,14.75,1100000
2021-03-20,15.20,15.60,15.10,15.45,1320000
2021-06-30,16.20,16.75,16.10,16.60,1410000
2021-12-30,17.50,17.95,17.40,17.80,1280000
2022-01-31,17.60,17.95,17.30,17.65,1190000
2022-06-30,16.80,17.20,16.50,16.95,1380000
2022-12-30,15.50,15.95,15.20,15.70,1250000
2023-01-31,15.80,16.35,15.65,16.10,1420000
2023-06-30,17.50,18.10,17.40,17.85,1540000
2023-12-29,18.80,19.40,18.70,19.20,1480000
2024-01-31,19.40,20.05,19.30,19.85,1620000
2024-06-28,20.80,21.50,20.70,21.15,1550000
2024-12-31,22.30,22.95,22.15,22.65,1420000
2025-01-31,22.80,23.50,22.70,23.20,1580000
2025-06-30,24.20,24.95,24.05,24.65,1650000
2026-01-31,25.10,25.95,24.95,25.50,1520000
2026-03-20,25.75,26.60,25.60,26.35,1380000
