Date,Open,High,Low,Close,Volume
2021-01-04,9.80,9.92,9.74,9.88,1250000
2021-01-05,9.92,10.05,9.88,10.02,1100000
2021-01-06,10.02,10.15,9.95,10.08,1300000
2021-01-07,10.08,10.20,10.00,10.18,950000
2021-01-08,10.18,10.35,10.12,10.28,1400000
2021-02-15,10.50,10.62,10.45,10.58,1200000
2021-03-20,10.80,11.05,10.75,10.95,1450000
2021-06-30,11.50,11.85,11.40,11.75,1350000
2021-12-30,12.40,12.65,12.30,12.55,1180000
2022-01-31,12.30,12.50,12.10,12.25,1290000
2022-06-30,11.50,11.80,11.40,11.65,1410000
2022-12-30,10.80,11.05,10.60,10.95,1220000
2023-01-31,11.00,11.30,10.85,11.15,1380000
2023-06-30,12.50,12.95,12.40,12.80,1520000
2023-12-29,13.50,13.85,13.40,13.70,1450000
2024-01-31,13.80,14.20,13.70,14.05,1610000
2024-06-28,14.80,15.25,14.70,15.10,1480000
2024-12-31,15.90,16.35,15.80,16.20,1350000
2025-01-31,16.30,16.75,16.15,16.55,1490000
2025-06-30,17.20,17.65,17.05,17.45,1620000
2026-01-31,17.80,18.30,17.65,18.10,1540000
2026-03-20,18.25,18.65,18.10,18.50,1280000
